Aircraft_Key,Manufacturer,Capacity,Model,Extra_info
1000,Airbus,180,A320,type:Narrow-body aircraft|note:Commonly used for short-haul European routes
1001,Boeing,314,787-9,type:Long-haul capable|note:Features advanced composite fuselage
1002,Embraer,88,E175,type:Popular for regional routes|note:Favored by North American carriers
1003,Bombardier,72,CRJ700,type:Modern avionics suite|note:Known for excellent climb performance
1004,ATR,48,ATR 42-600,type:Popular for regional routes|note:Optimized for short, unpaved runways
1005,Airbus,440,A350-1000,type:Wide-body aircraft|note:Equipped with next-gen Rolls-Royce engines
1006,Boeing,189,737-800,type:Fuel-efficient variant|note:Most widely operated 737 variant globally
1007,Embraer,118,E195,type:Narrow-body aircraft|note:Often used on high-demand regional services
1008,Airbus,250,A330-300,type:Twin-engine jet|note:Renowned for high reliability across fleets
1009,Boeing,396,777-300ER,type:Long-haul capable|note:Well-known for impressive cargo capacity
1010,Airbus,140,A319,type:Narrow-body aircraft|note:Preferred for operations into smaller airports
1011,Bombardier,104,CRJ1000,type:Modern avionics suite|note:Designed for dense regional markets
1012,ATR,72,ATR 72-600,type:Popular for regional routes|note:Features highly efficient turboprops
1013,Boeing,467,747-8,type:Wide-body aircraft|note:Latest variant of the iconic “Queen of the Skies”
1014,Airbus,525,A380-800,type:High-density configuration available|note:World’s largest passenger airliner
1015,Embraer,110,E195-E2,type:Fuel-efficient variant|note:Offers much quieter cabin interior
1016,Boeing,290,787-10,type:Twin-engine jet|note:Designed for high-capacity long-range missions
1017,Airbus,320,A321,type:Modern avionics suite|note:Popular for transcontinental U.S. flights
1018,Bombardier,50,CRJ200,type:Narrow-body aircraft|note:Often used for low-demand feeder routes
1019,Embraer,76,E170,type:Popular for regional routes|note:Praised for comfortable 2+2 seating
1020,Airbus,335,A350-900,type:Long-haul capable|note:Features advanced aerodynamic winglets
1021,Boeing,230,767-300,type:Wide-body aircraft|note:Commonly used for cargo conversions
1022,ATR,70,ATR 72-600,type:Popular for regional routes|note:Reliable in tropical operational environments
1023,Boeing,160,737-700,type:Fuel-efficient variant|note:Great maneuverability for shorter runways
1024,Airbus,270,A330-200,type:Wide-body aircraft|note:Ideal balance of range and payload
1025,Embraer,124,E195-E2,type:Modern avionics suite|note:Industry-leading fuel economy in its class
